Pixel,FLIR0252.jpg:t<0 [C]:mean:horz
1,2.047486e+01
2,2.051678e+01
3,2.048983e+01
4,2.049663e+01
5,2.052404e+01
6,2.053889e+01
7,2.054470e+01
8,2.055154e+01
9,2.058838e+01
10,2.064815e+01
11,2.070488e+01
12,2.070864e+01
13,2.069794e+01
14,2.067182e+01
15,2.065550e+01
16,2.064960e+01
17,2.063693e+01
18,2.061653e+01
19,2.060249e+01
20,2.059616e+01
21,2.059523e+01
22,2.059474e+01
23,2.058522e+01
24,2.056801e+01
25,2.056164e+01
26,2.056930e+01
27,2.055129e+01
28,2.056115e+01
29,2.056442e+01
30,2.055877e+01
31,2.056625e+01
32,2.058546e+01
33,2.059998e+01
34,2.060747e+01
35,2.061729e+01
36,2.062663e+01
37,2.062614e+01
38,2.061443e+01
39,2.060882e+01
40,2.061910e+01
41,2.063685e+01
42,2.065601e+01
43,2.066349e+01
44,2.066258e+01
45,2.066189e+01
46,2.067004e+01
47,2.066865e+01
48,2.066454e+01
49,2.067130e+01
50,2.068851e+01
51,2.068669e+01
52,2.066268e+01
53,2.064678e+01
54,2.064035e+01
55,2.062267e+01
56,2.059464e+01
57,2.057336e+01
58,2.056517e+01
59,2.052897e+01
60,2.055004e+01
61,2.056688e+01
62,2.057576e+01
63,2.058508e+01
64,2.059343e+01
65,2.059995e+01
66,2.060279e+01
67,2.060187e+01
68,2.059299e+01
69,2.056867e+01
70,2.053917e+01
71,2.053588e+01
72,2.056207e+01
73,2.057938e+01
74,2.057985e+01
75,2.058257e+01
76,2.059980e+01
77,2.061612e+01
78,2.062698e+01
79,2.063965e+01
80,2.065639e+01
81,2.067360e+01
82,2.068902e+01
83,2.068722e+01
84,2.066820e+01
85,2.063468e+01
86,2.059573e+01
87,2.057218e+01
88,2.056767e+01
89,2.057220e+01
90,2.058034e+01
91,2.055373e+01
92,2.052612e+01
93,2.051206e+01
94,2.051626e+01
95,2.051906e+01
96,2.051580e+01
97,2.050740e+01
98,2.049619e+01
99,2.049105e+01
100,2.049433e+01
101,2.050181e+01
102,2.050321e+01
103,2.049902e+01
104,2.047970e+01
105,2.046565e+01
106,2.045160e+01
107,2.045931e+01
108,2.048788e+01
109,2.049695e+01
110,2.048833e+01
111,2.048880e+01
112,2.050016e+01
113,2.050878e+01
114,2.051284e+01
115,2.050693e+01
116,2.049015e+01
117,2.046928e+01
118,2.044929e+01
119,2.043657e+01
120,2.043472e+01
121,2.044426e+01
122,2.046153e+01
123,2.045931e+01
124,2.047335e+01
125,2.047429e+01
126,2.047055e+01
127,2.048599e+01
128,2.052013e+01
129,2.053135e+01
130,2.052106e+01
131,2.050984e+01
132,2.050329e+01
133,2.049019e+01
134,2.046884e+01
135,2.045295e+01
136,2.043840e+01
137,2.043250e+01
138,2.042890e+01
139,2.042119e+01
140,2.041208e+01
141,2.041070e+01
142,2.041659e+01
143,2.042112e+01
144,2.041611e+01
145,2.040521e+01
146,2.039525e+01
147,2.040163e+01
148,2.042797e+01
149,2.044476e+01
150,2.045291e+01
151,2.045878e+01
152,2.046604e+01
153,2.047467e+01
154,2.046586e+01
155,2.048133e+01
156,2.049304e+01
157,2.048836e+01
158,2.046260e+01
159,2.044246e+01
160,2.043124e+01
161,2.042701e+01
162,2.042651e+01
163,2.043258e+01
164,2.043615e+01
165,2.043753e+01
166,2.043207e+01
167,2.043026e+01
168,2.043572e+01
169,2.043573e+01
170,2.043026e+01
171,2.041573e+01
172,2.039258e+01
173,2.036033e+01
174,2.032854e+01
175,2.031217e+01
176,2.031534e+01
177,2.033398e+01
178,2.036170e+01
179,2.037987e+01
180,2.038212e+01
181,2.037984e+01
182,2.037167e+01
183,2.036578e+01
184,2.035580e+01
185,2.033671e+01
186,2.029910e+01
187,2.027613e+01
188,2.026349e+01
189,2.026444e+01
190,2.027286e+01
191,2.028177e+01
192,2.028553e+01
193,2.029354e+01
194,2.030852e+01
195,2.030805e+01
196,2.029941e+01
197,2.028896e+01
198,2.028534e+01
199,2.028352e+01
200,2.028988e+01
201,2.029260e+01
202,2.028940e+01
203,2.029486e+01
204,2.030897e+01
205,2.032034e+01
206,2.032672e+01
207,2.032990e+01
208,2.032896e+01
209,2.033258e+01
210,2.034258e+01
211,2.034486e+01
212,2.033804e+01
213,2.033122e+01
214,2.032668e+01
215,2.032123e+01
216,2.031987e+01
217,2.032578e+01
218,2.032211e+01
219,2.033054e+01
220,2.033662e+01
221,2.034178e+01
222,2.034460e+01
223,2.033899e+01
224,2.034122e+01
225,2.033167e+01
226,2.031306e+01
227,2.028851e+01
228,2.026392e+01
229,2.023842e+01
230,2.021567e+01
231,2.021113e+01
232,2.022252e+01
233,2.024439e+01
234,2.026898e+01
235,2.028126e+01
236,2.027350e+01
237,2.026030e+01
238,2.024712e+01
239,2.025849e+01
240,2.028802e+01
241,2.031349e+01
242,2.031944e+01
243,2.031945e+01
244,2.031445e+01
245,2.030491e+01
246,2.030219e+01
247,2.030400e+01
248,2.031079e+01
249,2.030895e+01
250,2.028454e+01
251,2.028407e+01
252,2.028760e+01
253,2.029081e+01
254,2.029037e+01
255,2.030402e+01
256,2.032676e+01
257,2.034768e+01
258,2.036131e+01
259,2.036994e+01
260,2.037582e+01
261,2.038989e+01
262,2.041441e+01
263,2.045614e+01
264,2.051960e+01
265,2.062200e+01
266,2.058667e+01
