Pixel,FLIR0254.jpg:t=0 [C]:mean:horz
1,2.106472e+01
2,2.125661e+01
3,2.120602e+01
4,2.131242e+01
5,2.137720e+01
6,2.119818e+01
7,2.098968e+01
8,2.081494e+01
9,2.075280e+01
10,2.074635e+01
11,2.074607e+01
12,2.071242e+01
13,2.068908e+01
14,2.068025e+01
15,2.067373e+01
16,2.066441e+01
17,2.065741e+01
18,2.064873e+01
19,2.064466e+01
20,2.063603e+01
21,2.063194e+01
22,2.062740e+01
23,2.062058e+01
24,2.061193e+01
25,2.060738e+01
26,2.060467e+01
27,2.057797e+01
28,2.057332e+01
29,2.057802e+01
30,2.059114e+01
31,2.059395e+01
32,2.059068e+01
33,2.060796e+01
34,2.064904e+01
35,2.068034e+01
36,2.069484e+01
37,2.070048e+01
38,2.069676e+01
39,2.067524e+01
40,2.064433e+01
41,2.064151e+01
42,2.066913e+01
43,2.068085e+01
44,2.066918e+01
45,2.066544e+01
46,2.067058e+01
47,2.067010e+01
48,2.066260e+01
49,2.065087e+01
50,2.063725e+01
51,2.061958e+01
52,2.061366e+01
53,2.060546e+01
54,2.059771e+01
55,2.058139e+01
56,2.056604e+01
57,2.056561e+01
58,2.058056e+01
59,2.055886e+01
60,2.056497e+01
61,2.056919e+01
62,2.057196e+01
63,2.059859e+01
64,2.063879e+01
65,2.065373e+01
66,2.064016e+01
67,2.062239e+01
68,2.060884e+01
69,2.059387e+01
70,2.058169e+01
71,2.059056e+01
72,2.062047e+01
73,2.063357e+01
74,2.063171e+01
75,2.063502e+01
76,2.065095e+01
77,2.066405e+01
78,2.067289e+01
79,2.068501e+01
80,2.070274e+01
81,2.071301e+01
82,2.071718e+01
83,2.070830e+01
84,2.067816e+01
85,2.064964e+01
86,2.061612e+01
87,2.059936e+01
88,2.060027e+01
89,2.060979e+01
90,2.060050e+01
91,2.059956e+01
92,2.059301e+01
93,2.059302e+01
94,2.060052e+01
95,2.058791e+01
96,2.055799e+01
97,2.054629e+01
98,2.055560e+01
99,2.057241e+01
100,2.058784e+01
101,2.057707e+01
102,2.054246e+01
103,2.050598e+01
104,2.047746e+01
105,2.047234e+01
106,2.048547e+01
107,2.050233e+01
108,2.051870e+01
109,2.052991e+01
110,2.052895e+01
111,2.052896e+01
112,2.052665e+01
113,2.053039e+01
114,2.053596e+01
115,2.053033e+01
116,2.051069e+01
117,2.048420e+01
118,2.047741e+01
119,2.049239e+01
120,2.052187e+01
121,2.054093e+01
122,2.052807e+01
123,2.053324e+01
124,2.053933e+01
125,2.053370e+01
126,2.051776e+01
127,2.051260e+01
128,2.051496e+01
129,2.052245e+01
130,2.053179e+01
131,2.053179e+01
132,2.052386e+01
133,2.050983e+01
134,2.049296e+01
135,2.047518e+01
136,2.046631e+01
137,2.045743e+01
138,2.045041e+01
139,2.044338e+01
140,2.042932e+01
141,2.042417e+01
142,2.042744e+01
143,2.043820e+01
144,2.045644e+01
145,2.045925e+01
146,2.044379e+01
147,2.043582e+01
148,2.043581e+01
149,2.043300e+01
150,2.043202e+01
151,2.045201e+01
152,2.048786e+01
153,2.050056e+01
154,2.047426e+01
155,2.047006e+01
156,2.047477e+01
157,2.047384e+01
158,2.046868e+01
159,2.045276e+01
160,2.043357e+01
161,2.040875e+01
162,2.039188e+01
163,2.039375e+01
164,2.041109e+01
165,2.042187e+01
166,2.042327e+01
167,2.043169e+01
168,2.044572e+01
169,2.045788e+01
170,2.045740e+01
171,2.042464e+01
172,2.037502e+01
173,2.034598e+01
174,2.034457e+01
175,2.032863e+01
176,2.029442e+01
177,2.029068e+01
178,2.032021e+01
179,2.034645e+01
180,2.036753e+01
181,2.037642e+01
182,2.037594e+01
183,2.036257e+01
184,2.034803e+01
185,2.032897e+01
186,2.029914e+01
187,2.028744e+01
188,2.028274e+01
189,2.028461e+01
190,2.029352e+01
191,2.030524e+01
192,2.031697e+01
193,2.032212e+01
194,2.032024e+01
195,2.031975e+01
196,2.031738e+01
197,2.031596e+01
198,2.031220e+01
199,2.031362e+01
200,2.031880e+01
201,2.032816e+01
202,2.033702e+01
203,2.035015e+01
204,2.035676e+01
205,2.035911e+01
206,2.035253e+01
207,2.035674e+01
208,2.037126e+01
209,2.037688e+01
210,2.037454e+01
211,2.036189e+01
212,2.034503e+01
213,2.033424e+01
214,2.033189e+01
215,2.032767e+01
216,2.032125e+01
217,2.031086e+01
218,2.032819e+01
219,2.034646e+01
220,2.036192e+01
221,2.037271e+01
222,2.037694e+01
223,2.038443e+01
224,2.039004e+01
225,2.037175e+01
226,2.033236e+01
227,2.030092e+01
228,2.028167e+01
229,2.025635e+01
230,2.022917e+01
231,2.022777e+01
232,2.025264e+01
233,2.027798e+01
234,2.029393e+01
235,2.029442e+01
236,2.028554e+01
237,2.028226e+01
238,2.028786e+01
239,2.030099e+01
240,2.031975e+01
241,2.034318e+01
242,2.036896e+01
243,2.039332e+01
244,2.040972e+01
245,2.040270e+01
246,2.037179e+01
247,2.035725e+01
248,2.035957e+01
249,2.034270e+01
250,2.033752e+01
251,2.033612e+01
252,2.033613e+01
253,2.032161e+01
254,2.029254e+01
255,2.030004e+01
256,2.034175e+01
257,2.036471e+01
258,2.036284e+01
259,2.037457e+01
260,2.040082e+01
261,2.041908e+01
262,2.043731e+01
263,2.047612e+01
264,2.054533e+01
265,2.050480e+01
